"","AS_3rd_LPS_7B4_IL10R_32_cont6_48h_6.normalized","AS_3rd_LPS_7B4_IL10R_38_cont2_48h_2.normalized","AS_3rd_LPS_7B4_IL10R_42_cont3_48h_3.normalized","AS_3rd_LPS_7B4_IL10R_46_cont4_48h_4.normalized","AS_3rd_LPS_7B4_IL10R_54_cont5_48h_5.normalized","AS_3rd_LPS_7B4_IL10R_10_mut3_48h_3.normalized","AS_3rd_LPS_7B4_IL10R_48_mut1_48h_1.normalized","AS_3rd_LPS_7B4_IL10R_8_mut2_48h_2.normalized"
"Sarnp",9,10,8,12,11,8,15,14
"Sars",124,76,51,85,115,112,108,134
"Sars2",26,33,29,31,22,30,26,33
"Sart1",7,0,4,2,5,0,2,1
"Sart3",63,80,89,57,78,50,56,49
"Sash1",5,5,3,3,4,7,23,12
"Sash3",146,129,146,175,149,98,81,96
"Sass6",18,14,14,21,35,2,6,9
"Sat1",120,107,112,141,133,156,97,116
"Sat2",10,6,10,13,7,22,17,18
"Satb1",9,13,9,14,9,4,6,6
"Sav1",18,20,15,8,17,14,24,13
"Saysd1",7,3,2,3,8,4,3,2
"Sbds",62,43,71,38,49,80,109,85
"Sbf1",91,121,114,93,94,118,161,124
"Sbf2",65,88,77,92,78,85,105,77
"Sbk1",5,4,5,5,6,12,3,2
"Sbno1",90,65,58,77,86,64,84,83
"Sbno2",559,443,476,430,509,557,543,510
"Sc5d",9,11,5,4,7,7,5,6
"Scaf1",22,23,25,31,39,36,37,30
"Scaf11",27,22,18,26,28,17,15,14
"Scaf4",16,25,29,21,15,17,27,30
"Scaf8",40,29,38,32,29,39,42,37
"Scai",11,8,3,11,8,8,10,6
"Scamp1",76,91,131,112,65,70,56,60
"Scamp2",1027,1168,1100,1279,864,669,700,705
"Scamp3",92,132,146,139,103,102,105,77
"Scamp5",268,276,261,249,266,135,138,128
"Scand1",290,325,234,330,284,399,305,335
"Scap",88,103,105,87,77,67,77,68
"Scaper",6,5,7,6,7,4,7,6
"Scarb1",101,106,124,108,81,74,58,55
"Scarb2",279,252,271,326,328,243,191,167
"Scarf2",34,31,54,32,28,60,157,80
"Scarna17",8,7,6,7,1,0,10,5
"Scarna2",8,4,2,2,1,2,2,2
"Sccpdh",24,11,23,24,27,28,25,24
"Scd1",1,1,0,0,0,0,1,0
"Scd2",52,69,68,36,42,140,93,83
"Scfd1",51,49,28,36,50,46,53,56
"Scfd2",11,13,8,6,7,12,13,15
"Scg5",0,0,0,1,1,0,3,0
"Scimp",8,2,11,5,11,19,9,10
"Sclt1",21,9,14,7,13,9,14,7
"Scly",37,50,38,34,40,46,30,35
"Scmh1",24,27,34,27,31,30,25,14
"Scn1b",76,53,71,90,78,54,34,47
"Scnm1",77,39,58,50,62,167,91,58
"Sco1",8,9,7,9,11,9,13,17
"Sco2",48,86,69,50,50,76,128,129
"Scoc",143,124,68,136,219,54,39,48
"Scp2",27,24,34,20,27,13,16,26
"Scp2-ps2",1,2,0,5,3,0,0,1
"Scpep1",124,136,189,135,187,221,195,164
"Scrib",96,113,116,80,120,106,96,111
"Scrn2",5,4,5,2,6,8,4,10
"Scrn3",14,9,17,25,13,14,12,10
"Scube1",3,4,3,6,6,0,1,2
"Scyl1",117,148,150,126,150,149,165,181
"Scyl2",23,16,17,17,21,18,22,22
"Scyl3",37,35,33,32,26,64,60,44
"Sdad1",61,55,39,37,55,55,137,119
"Sdc3",222,269,407,230,289,201,91,152
"Sdc4",5,17,17,8,5,95,269,171
"Sdcbp",204,151,203,196,238,194,147,181
"Sdcbp2",1,0,0,0,0,3,2,0
"Sdccag3",11,32,32,17,20,16,22,23
"Sdccag8",35,42,30,49,40,12,14,19
"Sde2",19,17,16,18,22,23,48,21
"Sdf2",108,117,150,144,115,100,80,91
"Sdf2l1",143,164,227,149,204,46,33,26
"Sdf4",294,277,232,334,338,283,207,274
"Sdha",134,139,152,149,152,88,103,130
"Sdhaf1",35,40,49,51,36,60,59,51
"Sdhaf3",4,2,0,0,2,2,4,6
"Sdhaf4",17,9,15,21,17,15,10,22
"Sdhb",470,442,452,419,407,450,366,371
"Sdhc",44,63,87,59,51,38,30,34
"Sdhd",121,124,141,155,92,121,125,118
"Sdk1",8,15,7,18,13,7,2,2
"Sdr39u1",2,3,2,2,2,4,2,1
"Sdr42e1",12,14,5,12,12,13,12,11
"Sec11a",127,139,161,123,161,179,153,176
"Sec11c",340,416,333,361,310,183,164,158
"Sec13",119,113,132,89,102,94,102,132
"Sec14l1",178,190,198,198,208,119,59,66
"Sec14l2",21,17,23,15,28,11,11,11
"Sec16a",49,59,54,65,42,51,36,48
"Sec16b",0,0,0,2,1,10,10,2
"Sec22b",61,75,52,61,53,52,67,59
"Sec22c",9,6,7,4,2,5,4,5
"Sec23a",18,17,12,12,17,17,14,16
"Sec23b",47,59,50,48,56,67,59,67
"Sec23ip",16,8,11,11,9,7,5,7
"Sec24a",18,17,19,17,9,22,23,22
"Sec24b",59,68,50,67,71,47,52,63
"Sec24c",51,96,86,82,68,85,80,62
"Sec24d",13,19,17,12,12,9,11,6
"Sec31a",78,120,116,82,85,70,71,79
"Sec61a1",261,339,277,239,249,334,331,359
"Sec61a2",61,52,47,51,53,51,90,59
"Sec61b",161,186,180,183,134,114,77,127
"Sec62",224,178,176,185,255,155,124,169
"Sec63",104,106,86,87,76,85,77,78
"Secisbp2",70,87,72,54,58,65,73,67
"Secisbp2l",26,32,21,25,24,24,28,29
"Seh1l",12,11,15,8,18,13,19,22
"Sel1l",225,295,244,287,238,163,173,160
"Selenbp1",11,15,14,11,14,10,10,9
"Selenof",324,288,344,330,285,284,205,279
"Selenoh",95,79,94,84,102,72,54,71
"Selenoi",19,13,18,11,16,19,25,18
"Selenok",118,169,180,151,117,102,63,106
"Selenom",11,14,9,10,9,17,18,15
"Selenon",58,65,73,67,69,66,60,65
"Selenoo",75,70,71,62,60,66,57,63
"Selenop",2187,1923,2539,2925,3128,1092,643,920
"Selenos",214,325,248,231,196,229,240,243
"Selenot",91,80,66,85,110,65,82,91
"Selenow",62,70,60,62,46,97,88,111
"Sell",0,0,1,0,0,1,0,2
"Selplg",2650,2552,3482,3821,3676,1944,555,1086
"Sem1",1,1,2,1,6,2,1,4
"Sema3f",1,1,0,0,0,0,2,0
"Sema4a",42,63,93,44,42,29,33,34
"Sema4b",6,4,5,9,7,6,3,4
"Sema4c",157,173,239,150,149,121,297,259
"Sema4d",138,114,162,142,156,45,27,34
"Sema4g",44,41,44,38,62,18,7,10
"Sema6b",25,24,14,20,18,77,40,71
"Sema6c",4,4,5,2,6,9,10,2
"Sema6d",3,3,2,2,1,1,0,1
"Senp1",40,24,19,22,25,11,22,26
"Senp2",58,43,56,57,67,39,30,28
"Senp3",61,58,62,49,50,43,32,44
"Senp5",11,21,14,14,16,11,25,25
"Senp6",88,98,62,88,74,74,100,83
"Senp7",21,20,16,28,18,16,13,10
"Senp8",17,15,9,10,16,5,5,2
"Sephs1",5,2,10,5,4,4,3,6
"Sephs2",11,17,11,6,11,16,10,15
"Sepsecs",11,9,15,11,9,15,17,13
"Sep-01",1,1,5,4,5,2,4,2
"Sep-10",5,3,3,4,5,6,3,3
"Sep-11",11,8,12,5,8,14,30,18
"Sep-02",72,72,51,63,64,83,64,63
"Sep-04",1,0,0,0,0,3,2,1
"Sep-05",4,7,5,7,5,1,4,2
"Sep-06",5,4,2,4,2,3,3,3
"Sep-07",35,39,41,50,58,49,40,59
"Sep-08",26,42,44,37,23,26,22,18
"Sep-09",10,9,5,2,5,2,2,2
"Serbp1",401,425,406,336,436,497,464,553
"Serf1",6,2,12,2,5,2,1,2
"Serf2",227,176,174,254,275,203,100,136
"Sergef",21,24,21,15,18,32,33,37
"Serhl",55,42,56,37,48,37,42,33
"Serinc1",187,166,168,221,217,208,160,199
"Serinc3",159,131,69,136,194,191,143,173
"Serinc5",8,6,5,11,4,11,9,11
"Serp1",1,1,2,4,1,2,22,2
"Serpina3f",0,0,0,0,1,3,12,3
"Serpina3g",0,1,1,0,2,4,10,5
"Serpina3n",1,0,1,0,1,2,2,2
"Serpinb1a",0,0,0,0,0,0,0,2
"Serpinb6a",13,9,14,15,12,15,10,10
"Serpinb9",2,2,2,2,6,3,4,2
"Serpine1",34,48,43,68,39,46,68,52
"Serpine2",183,139,195,174,213,138,115,158
"Serpinf1",245,222,261,228,265,220,130,234
"Serping1",0,0,0,0,0,0,0,0
"Sertad1",27,23,26,17,17,64,49,73
"Sertad2",51,34,23,45,46,43,49,37
"Sertad3",12,13,17,9,11,3,7,10
"Sesn1",104,110,117,131,115,143,169,95
"Sesn2",28,34,38,26,24,49,36,38
"Sesn3",3,1,2,4,6,2,3,2
"Set",67,48,49,51,44,51,62,88
"Setd1a",59,54,50,48,46,52,67,49
"Setd1b",115,130,147,130,90,138,195,138
"Setd2",52,59,59,73,51,45,53,38
"Setd3",137,132,162,129,117,93,93,79
"Setd4",8,12,11,13,14,25,32,24
"Setd5",61,64,72,68,50,69,57,43
"Setd6",14,20,13,12,8,14,26,32
"Setd7",15,17,25,17,13,24,14,14
"Setdb1",66,69,87,95,93,76,66,73
"Setdb2",18,6,12,7,13,18,30,20
"Setmar",2,3,3,2,4,4,4,7
"Setx",25,21,32,21,25,33,21,20
"Sez6l",0,1,1,0,2,0,0,0
"Sez6l2",2,2,2,2,4,3,10,4
"Sf1",138,191,261,159,134,168,153,151
"Sf3a1",23,13,20,9,24,28,33,28
"Sf3a2",34,55,43,43,47,61,85,75
"Sf3a3",72,81,75,57,81,87,104,94
"Sf3b1",206,198,144,218,236,120,116,146
"Sf3b2",142,176,176,138,126,122,173,155
"Sf3b3",77,68,79,49,70,105,127,90
"Sf3b4",37,29,38,36,28,39,46,62
"Sf3b5",89,93,86,98,87,108,100,107
"Sf3b6",68,50,42,47,68,87,99,104
"Sfi1",50,57,58,64,54,17,9,18
"Sfmbt1",10,4,10,15,16,14,14,8
"Sfmbt2",4,0,2,2,4,2,3,3
"Sfn",1,6,2,1,1,6,5,3
"Sfpq",199,170,148,141,226,206,301,245
"Sfr1",83,87,95,67,76,84,75,102
"Sfswap",105,107,126,112,105,140,100,120
"Sft2d1",115,133,149,179,136,112,74,74
"Sft2d2",98,70,89,102,104,52,21,36
"Sft2d3",5,4,5,6,6,9,21,15
"Sfxn1",34,44,34,32,44,33,71,67
"Sfxn2",39,34,35,28,28,34,34,40
"Sfxn3",23,26,32,19,24,51,31,39
"Sfxn4",11,10,11,11,11,8,2,4
"Sfxn5",12,9,6,10,7,10,5,6
"Sgca",1,0,0,0,0,0,5,0
"Sgcb",19,11,18,19,26,19,24,22
"Sgce",78,64,89,87,86,37,35,40
"Sgf29",51,53,47,37,54,52,41,59
"Sgip1",6,4,3,11,5,54,17,45
"Sgk1",294,333,383,275,245,389,527,496
"Sgk3",60,43,55,77,55,50,28,36
"Sgms1",17,16,14,11,11,13,17,12
"Sgpl1",355,297,356,377,391,313,421,310
"Sgpp1",31,35,27,28,50,33,22,30
"Sgsh",34,37,28,45,23,17,5,6
"Sgsm2",14,9,16,6,14,7,6,5
"Sgsm3",33,50,31,36,39,52,29,32
"Sgta",115,117,99,102,137,122,161,156
"Sh2b1",94,114,174,114,128,94,73,62
"Sh2b2",111,132,173,112,129,54,67,67
"Sh2b3",212,235,299,325,202,345,212,259
"Sh2d3c",31,33,41,25,29,36,19,21
"Sh2d4b",0,1,1,0,1,1,4,0
"Sh2d5",5,2,5,1,11,5,3,2
"Sh2d6",19,3,36,11,20,30,35,10
"Sh3bgrl",11,14,5,9,14,10,20,12
"Sh3bgrl3",709,711,753,741,654,1023,603,833
"Sh3bp1",198,258,298,221,214,128,101,108
"Sh3bp2",146,158,216,149,140,172,171,148
"Sh3bp4",1,2,2,2,0,2,4,5
"Sh3bp5",19,22,20,22,8,25,30,16
"Sh3bp5l",17,24,20,17,23,19,29,22
"Sh3d21",1,1,2,0,4,1,2,3
"Sh3gl1",62,90,120,96,61,63,42,45
"Sh3glb1",278,222,273,310,298,254,264,191
"Sh3glb2",53,58,79,52,61,33,31,34
"Sh3kbp1",50,71,56,65,67,34,23,30
"Sh3pxd2a",24,50,45,61,24,55,29,36
"Sh3pxd2b",18,29,44,31,18,78,58,74
"Sh3tc1",49,49,80,59,51,89,75,64
"Shank1",1,2,2,2,2,4,11,2
"Sharpin",146,147,146,123,119,195,164,172
"Shb",31,34,27,37,20,19,18,11
"Shc1",56,62,61,67,53,30,43,21
"Shcbp1",0,0,2,3,6,0,0,2
"Shd",1,0,1,0,2,3,11,1
"Shf",3,2,1,6,5,4,2,1
"Shisa4",1,2,1,1,0,2,3,2
"Shisa5",527,629,670,672,624,501,392,493
"Shisa7",2,1,2,1,4,1,0,0
"Shkbp1",106,148,137,114,132,120,131,116
"Shmt1",17,13,19,13,12,12,15,22
"Shmt2",76,87,92,63,73,73,70,94
"Shoc2",5,6,7,6,9,11,8,5
"Shpk",5,6,5,7,6,7,4,7
"Shprh",4,2,9,5,7,4,7,8
"Shq1",11,20,8,14,10,13,20,20
"Shroom1",5,5,4,2,1,0,2,1
"Shtn1",4,6,2,6,1,3,3,5
"Siae",68,43,59,54,68,31,21,25
"Siah1a",23,13,20,21,10,24,18,14
"Siah1b",5,2,0,2,3,0,2,2
"Siah2",12,11,22,12,13,15,41,10
"Sidt2",76,90,104,109,61,127,83,87
"Sigirr",2,0,0,2,5,1,1,1
"Siglec1",16,18,22,26,26,31,12,30
"Siglece",51,90,76,98,45,63,30,74
"Siglecf",76,71,75,101,107,24,7,14
"Siglecg",2,2,7,7,7,2,1,0
"Siglech",747,575,690,718,1241,672,486,708
"Sigmar1",117,186,157,106,141,91,105,124
"Sik1",0,1,0,1,3,1,1,1
"Sik2",16,16,6,26,8,21,22,13
"Sik3",35,35,40,42,46,53,22,26
"Sike1",38,20,25,22,25,40,44,36
"Sil1",105,110,117,92,117,73,56,65
"Simc1",12,13,9,12,8,16,15,15
"Sin3a",17,23,20,25,22,16,20,15
"Sin3b",134,161,164,154,102,198,177,233
"Sipa1",404,596,548,607,595,546,355,382
"Sipa1l1",83,97,97,89,95,56,57,31
"Sipa1l2",86,124,173,156,116,88,97,85
"Sipa1l3",11,31,22,17,18,8,11,13
"Sirpa",761,786,1015,930,855,536,430,378
"Sirt1",21,13,11,17,21,23,20,21
"Sirt2",196,244,232,206,214,190,140,156
"Sirt3",33,30,32,37,37,20,15,16
"Sirt4",6,11,11,8,9,14,6,9
"Sirt5",8,6,5,9,5,4,5,1
"Sirt6",27,16,13,17,10,19,17,15
"Sirt7",231,303,305,282,287,219,202,174
"Siva1",51,57,71,48,69,77,53,58
"Six5",0,0,2,2,3,0,1,1
"Ska2",5,5,8,4,10,3,3,2
"Skap2",189,166,188,180,187,204,231,194
"Ski",89,87,78,91,68,180,130,115
"Skil",97,76,95,85,102,62,120,97
"Skiv2l",131,183,187,152,163,163,166,127
"Skiv2l2",45,40,35,49,52,52,60,43
"Skp1a",35,13,13,22,21,34,17,45
"Skp2",11,7,11,6,10,11,13,9
"Sla",310,264,250,389,322,641,551,640
"Slain2",30,41,30,29,29,20,30,38
"Slamf1",1,2,2,6,3,3,5,6
"Slamf6",74,59,72,87,88,31,21,42
"Slamf7",0,0,2,0,0,1,3,3
"Slamf8",61,48,102,50,66,22,36,61
"Slamf9",352,293,309,221,310,196,183,189
"Slbp",11,9,5,8,7,11,6,5
"Slc10a3",28,43,59,47,31,25,27,48
"Slc10a6",17,35,14,51,10,28,11,15
"Slc10a7",14,13,16,13,29,12,7,9
"Slc11a1",678,860,802,738,633,586,698,775
"Slc11a2",79,126,98,68,63,71,341,184
"Slc12a2",38,35,19,31,36,20,23,18
"Slc12a4",26,35,42,32,39,50,52,59
"Slc12a6",67,64,60,95,63,97,59,55
"Slc12a7",39,41,47,37,20,31,30,18
"Slc12a9",464,350,460,390,397,366,239,276
"Slc13a3",85,98,68,71,64,158,879,379
"Slc14a1",2,4,2,3,1,0,1,0
"Slc15a2",0,4,4,7,6,3,12,5
"Slc15a3",268,355,289,236,264,741,1323,1122
"Slc15a4",147,202,225,173,174,112,245,101
"Slc16a10",34,42,44,37,39,15,31,23
"Slc16a13",21,39,38,28,26,18,30,31
"Slc16a14",0,0,0,2,1,1,0,2
"Slc16a3",49,81,83,48,50,116,74,102
"Slc16a4",0,0,0,0,0,3,3,2
"Slc16a6",588,768,694,646,556,730,749,734
"Slc16a7",6,11,4,12,11,3,2,4
"Slc16a9",4,0,1,4,4,3,6,4
"Slc17a5",21,26,28,30,14,17,12,18
"Slc17a9",21,40,34,34,22,11,18,26
"Slc18b1",10,13,12,9,10,12,12,7
"Slc19a1",24,43,35,20,20,46,45,47
"Slc19a2",5,2,5,2,5,4,4,4
"Slc1a2",1,0,1,2,0,3,3,2
"Slc1a3",175,189,235,293,238,193,93,109
"Slc1a4",11,27,11,12,5,12,4,14
"Slc1a5",29,54,32,27,22,46,90,99
"Slc20a1",66,65,74,42,74,101,132,89
"Slc20a2",27,22,30,26,33,24,20,26
"Slc22a15",1,0,0,0,1,1,3,3
"Slc22a17",210,221,234,256,160,178,85,120
"Slc22a21",2,2,5,2,1,3,7,5
"Slc22a5",2,3,4,4,3,3,4,6
"Slc23a2",56,56,78,71,51,93,110,88
"Slc24a3",37,55,37,34,32,122,68,120
"Slc24a5",5,4,4,3,8,8,19,10
"Slc25a1",56,35,75,54,62,56,38,53
"Slc25a10",23,33,41,37,29,15,70,45
"Slc25a11",194,196,246,211,215,143,158,168
"Slc25a12",12,24,23,18,21,37,24,22
"Slc25a13",8,9,8,6,9,11,15,9
"Slc25a14",5,4,6,3,5,7,9,10
"Slc25a15",8,15,8,7,6,11,11,9
"Slc25a16",15,13,19,14,8,25,29,22
"Slc25a17",49,46,65,44,44,43,38,49
"Slc25a19",50,32,53,41,43,28,27,23
"Slc25a20",20,22,17,15,17,16,26,28
"Slc25a22",48,71,89,57,45,76,56,67
"Slc25a23",31,28,37,49,26,16,7,7
"Slc25a25",36,53,48,30,45,33,64,44
"Slc25a26",21,17,28,14,16,16,22,19
"Slc25a27",1,3,4,3,2,2,1,0
"Slc25a28",130,94,118,102,102,191,216,138
"Slc25a29",5,2,4,2,1,3,9,3
"Slc25a3",561,501,507,538,499,591,509,698
"Slc25a30",2,2,2,2,3,4,1,2
"Slc25a32",6,3,2,2,5,9,13,13
"Slc25a33",23,28,30,17,12,22,28,33
"Slc25a35",7,7,8,12,6,4,4,6
"Slc25a36",73,49,38,84,77,44,37,37
"Slc25a37",112,104,101,93,108,61,83,79
"Slc25a38",74,84,78,62,71,92,46,59
"Slc25a39",109,104,138,121,131,104,83,96
"Slc25a4",168,166,186,166,174,205,246,282
"Slc25a40",8,12,8,7,14,9,6,9
"Slc25a42",5,7,8,6,6,6,6,6
"Slc25a43",2,5,5,3,2,4,9,6
"Slc25a44",34,23,26,26,26,42,39,42
"Slc25a45",194,180,256,246,206,86,72,75
"Slc25a47",8,2,6,0,6,3,6,3
"Slc25a5",432,486,543,407,368,552,585,796
"Slc25a51",32,28,25,27,21,28,35,18
"Slc25a53",6,3,9,7,8,7,6,4
"Slc26a11",11,14,12,21,6,5,2,5
"Slc26a2",80,78,49,59,60,60,126,81
"Slc26a6",15,16,11,13,16,13,30,14
"Slc27a1",7,11,12,25,7,6,5,2
"Slc27a3",5,20,15,16,9,4,3,6
"Slc27a4",5,7,2,11,4,1,3,4
"Slc29a1",57,84,122,93,99,63,74,72
"Slc29a2",9,7,12,12,5,19,26,22
"Slc29a3",641,622,639,625,702,287,225,281
"Slc29a4",0,0,0,0,0,0,1,0
"Slc2a1",46,69,65,57,62,84,53,117
"Slc2a12",15,9,13,10,5,9,5,7
"Slc2a3",27,25,31,30,15,59,43,33
"Slc2a4rg-ps",16,20,25,28,17,6,4,4
"Slc2a5",211,145,209,302,315,33,9,25
"Slc2a6",49,46,92,58,100,37,81,69
"Slc2a8",80,76,88,92,85,49,39,34
"Slc2a9",19,13,17,18,17,15,12,9
"Slc30a1",31,23,17,27,35,24,16,16
"Slc30a4",11,9,5,16,17,17,21,18
"Slc30a5",53,50,49,39,39,42,47,42
"Slc30a6",30,27,49,34,41,26,21,30
"Slc30a7",11,12,16,19,12,8,11,7
"Slc30a9",89,86,82,80,92,80,68,80
"Slc31a1",43,32,39,55,44,34,39,54
"Slc31a2",117,154,135,102,65,132,295,256
"Slc33a1",27,35,24,30,36,35,46,41
"Slc35a1",26,24,31,35,32,37,27,32
"Slc35a2",24,28,39,31,34,28,19,14
"Slc35a3",31,38,43,40,34,26,37,23
"Slc35a4",60,79,71,72,77,80,106,99
"Slc35a5",5,7,4,9,6,9,7,3
"Slc35b1",152,190,193,161,163,136,157,151
"Slc35b2",160,197,210,226,177,89,90,79
"Slc35b3",26,26,31,22,21,40,38,30
"Slc35b4",14,14,15,11,24,13,14,15
"Slc35c1",48,70,73,55,40,34,56,43
"Slc35c2",254,217,229,261,328,263,133,151
"Slc35d1",3,6,2,5,1,2,3,7
"Slc35d2",19,22,26,24,22,22,28,16
"Slc35e1",54,61,53,60,57,37,21,42
"Slc35e2",11,22,18,14,15,17,22,14
"Slc35e3",22,17,14,14,26,11,19,15
"Slc35e4",6,15,5,3,6,15,10,18
"Slc35f5",38,28,29,50,46,33,24,22
"Slc35f6",143,134,135,103,110,136,152,140
"Slc35g1",2,3,1,3,2,3,5,6
"Slc36a1",199,242,221,238,165,179,102,151
"Slc36a2",14,8,4,5,9,0,0,1
"Slc36a4",7,2,2,4,3,9,14,4
"Slc37a1",10,3,4,4,1,14,11,4
"Slc37a2",137,149,159,156,170,73,41,53
"Slc37a3",18,17,22,21,17,12,7,14
"Slc37a4",34,32,38,34,35,41,26,26
"Slc38a1",37,35,41,49,39,22,11,11
"Slc38a10",226,240,347,280,263,168,145,156
"Slc38a2",189,216,247,186,173,265,148,285
"Slc38a3",0,0,0,0,1,0,0,2
"Slc38a6",51,71,58,56,61,36,51,45
"Slc38a7",82,72,98,96,83,86,50,55
"Slc38a9",38,43,27,32,33,19,11,18
"Slc39a1",119,84,66,80,127,94,106,146
"Slc39a10",5,13,5,9,17,4,4,7
"Slc39a11",40,39,32,39,28,16,18,22
"Slc39a12",8,3,5,3,4,1,1,2
"Slc39a13",50,76,73,59,49,22,36,15
"Slc39a14",164,203,216,183,138,176,325,425
"Slc39a2",2,0,2,2,3,1,2,1
"Slc39a3",37,31,32,28,35,34,36,30
"Slc39a4",25,43,59,30,27,35,77,64
"Slc39a6",25,17,20,25,36,18,39,33
"Slc39a7",153,223,225,145,143,153,122,159
"Slc39a8",31,30,23,44,46,22,35,28
"Slc39a9",31,34,40,37,34,25,40,28
"Slc3a2",577,731,871,693,612,790,1188,1002
"Slc40a1",81,23,28,33,61,44,11,12
"Slc41a1",17,17,23,24,25,23,31,16
"Slc41a3",20,19,29,19,15,20,23,22
"Slc43a1",12,2,9,3,12,3,7,4
"Slc43a2",156,243,147,212,141,252,177,191
"Slc43a3",13,4,17,11,26,1,5,6
"Slc44a1",27,28,28,35,33,16,22,20
"Slc44a2",52,50,77,77,78,90,44,59
"Slc45a3",1,0,0,0,0,0,5,0
"Slc45a4",64,92,94,111,77,45,37,39
"Slc46a1",153,164,169,146,171,29,15,19
"Slc46a3",52,42,38,69,61,11,4,2
"Slc48a1",43,37,38,50,45,42,60,39
"Slc4a1ap",22,30,32,40,35,38,36,32
"Slc4a2",81,73,38,43,86,93,61,66
"Slc4a3",3,1,2,3,2,1,2,3
"Slc4a7",47,46,17,42,39,34,65,52
"Slc4a8",5,9,6,11,8,29,13,16
"Slc50a1",186,193,213,241,158,148,87,112
"Slc52a2",30,37,29,20,34,37,43,66
"Slc5a10",0,1,1,2,1,2,1,1
"Slc5a3",0,3,4,2,1,0,2,2
"Slc5a6",10,12,17,8,17,8,11,17
"Slc6a1",0,0,1,0,0,0,3,0
"Slc6a12",1,0,1,0,0,5,32,8
"Slc6a2",0,0,1,0,0,1,10,3
"Slc6a20a",0,0,0,2,0,0,1,0
"Slc6a6",188,228,210,156,125,123,145,120
"Slc6a8",5,9,14,7,5,12,11,14
"Slc6a9",4,9,12,8,13,6,1,1
"Slc7a1",15,26,11,9,13,33,58,61
"Slc7a11",5,3,2,0,2,11,123,108
"Slc7a2",0,1,0,0,0,1,4,2
"Slc7a4",2,4,3,2,5,0,0,0
"Slc7a5",24,57,71,41,24,53,46,59
"Slc7a6",39,38,36,25,36,47,71,70
"Slc7a6os",31,24,27,33,43,28,37,52
"Slc7a7",305,334,319,315,306,224,263,253
"Slc7a8",186,306,365,257,182,109,130,83
"Slc8b1",36,52,65,54,44,57,63,48
"Slc9a1",61,71,71,77,65,54,55,43
"Slc9a3r1",47,60,47,70,39,162,91,95
"Slc9a3r2",1,3,0,2,3,2,1,2
"Slc9a5",12,15,23,17,17,10,13,17
"Slc9a6",11,9,5,7,16,8,13,10
"Slc9a7",5,1,3,2,3,1,2,2
"Slc9a8",82,81,95,96,78,135,147,125
"Slc9a9",59,71,71,59,63,15,5,6
"Slco2b1",1008,1229,1255,1237,1009,850,271,691
"Slco3a1",1,0,1,1,0,1,7,0
"Slco4a1",217,128,265,200,220,105,98,61
"Slf1",21,14,14,19,34,41,42,29
"Slf2",31,51,36,42,29,32,22,27
"Slfn1",1,1,0,2,0,1,1,6
"Slfn10-ps",7,2,3,2,5,11,12,17
"Slfn2",288,202,193,214,294,515,852,626
"Slfn3",0,1,0,1,0,0,4,1
"Slfn4",3,1,4,1,0,8,1,9
"Slfn5",55,16,20,25,72,61,88,62
"Slfn8",112,62,113,85,161,105,112,111
"Slfn9",52,24,47,28,69,34,40,22
"Slirp",72,44,34,43,85,64,54,83
"Slk",43,43,55,42,39,93,62,60
"Slmap",58,37,23,48,51,53,52,37
"Slpi",1,1,2,2,0,8,0,5
"Sltm",110,137,94,94,106,99,161,167
"Slu7",24,21,15,17,13,16,12,18
"Slx1b",33,23,31,41,26,33,13,15
"Slx4",21,49,34,25,32,65,108,67
"Slx4ip",16,13,5,16,24,7,6,12
"Smad1",14,9,11,14,14,10,20,24
"Smad2",43,32,36,34,36,42,74,52
"Smad3",67,61,54,60,52,32,13,36
"Smad4",85,78,56,85,69,84,59,57
"Smad5",43,44,44,55,49,41,62,36
"Smad6",8,15,12,7,14,7,8,6
"Smad7",111,96,124,103,127,86,41,61
"Smagp",34,31,40,48,26,19,11,11
"Smap1",186,198,107,219,144,144,174,195
"Smap2",223,249,256,290,215,179,90,81
"Smarca2",60,91,71,77,76,69,52,46
"Smarca4",121,138,106,96,150,132,151,148
"Smarca5",11,5,3,3,12,2,6,5
"Smarcad1",33,50,19,30,28,36,51,37
"Smarcal1",50,53,57,45,55,48,52,54
"Smarcb1",61,75,85,59,69,58,76,90
"Smarcc1",21,15,13,22,14,10,13,22
"Smarcc2",66,129,106,89,84,53,58,48
"Smarcd1",15,27,38,31,14,20,27,16
"Smarcd2",74,94,98,99,73,49,60,59
"Smarcd3",11,15,9,17,12,2,2,4
"Smarce1",40,48,50,35,38,33,36,37
"Smc1a",92,56,62,77,99,65,74,101
"Smc2",15,9,7,10,28,4,6,5
"Smc3",14,19,26,25,34,25,21,19
"Smc4",27,17,10,20,51,15,17,18
"Smc5",28,16,14,21,33,18,34,21
"Smc6",44,35,32,32,56,40,35,30
"Smchd1",24,24,13,24,39,14,13,15
"Smco4",3,2,9,3,4,4,2,4
"Smcr8",42,44,46,36,43,35,52,38
"Smdt1",223,222,246,264,221,208,143,191
"Smg1",39,27,16,39,39,32,35,26
"Smg5",93,95,111,101,102,94,122,116
"Smg6",21,39,23,27,26,29,23,23
"Smg7",30,30,32,16,21,22,33,26
"Smg8",18,19,23,15,12,15,17,14
"Smg9",147,172,150,114,177,194,303,201
"Smim1",22,24,15,25,25,9,9,9
"Smim10l1",33,32,26,37,54,32,56,47
