"","AS_3rd_LPS_7B4_IL10R_32_cont6_48h_6.normalized","AS_3rd_LPS_7B4_IL10R_38_cont2_48h_2.normalized","AS_3rd_LPS_7B4_IL10R_42_cont3_48h_3.normalized","AS_3rd_LPS_7B4_IL10R_46_cont4_48h_4.normalized","AS_3rd_LPS_7B4_IL10R_54_cont5_48h_5.normalized","AS_3rd_LPS_7B4_IL10R_10_mut3_48h_3.normalized","AS_3rd_LPS_7B4_IL10R_48_mut1_48h_1.normalized","AS_3rd_LPS_7B4_IL10R_8_mut2_48h_2.normalized"
"Fam214a",21,20,14,23,21,17,9,8
"Fam214b",64,69,60,87,44,53,82,58
"Fam216a",11,9,8,6,7,5,14,9
"Fam217b",46,42,39,44,49,36,23,27
"Fam219a",21,20,28,23,21,17,30,17
"Fam219b",26,15,12,18,17,19,15,18
"Fam220a",29,46,44,22,30,24,33,31
"Fam221a",2,0,2,2,6,0,0,3
"Fam222a",2,1,0,3,2,1,1,1
"Fam222b",20,32,14,27,16,29,29,34
"Fam228b",3,6,2,8,5,0,2,5
"Fam234a",37,58,49,59,50,30,22,26
"Fam234b",27,44,44,36,37,34,15,28
"Fam26f",5,7,16,5,11,5,5,10
"Fam32a",68,69,63,62,56,100,140,124
"Fam35a",5,5,6,7,7,5,7,11
"Fam3a",53,76,62,90,59,32,16,36
"Fam3c",60,74,78,67,62,36,35,37
"Fam43a",2,3,2,3,4,2,2,3
"Fam45a",29,27,20,15,28,17,15,21
"Fam46a",47,48,41,78,47,94,61,58
"Fam46c",66,37,77,72,101,58,29,37
"Fam49a",7,4,5,6,6,16,68,17
"Fam49b",266,255,310,274,279,306,359,364
"Fam50a",64,72,70,52,85,65,44,75
"Fam53a",56,83,69,58,50,48,38,52
"Fam53b",127,130,130,146,119,116,125,104
"Fam53c",27,32,24,26,23,15,22,19
"Fam57a",2,2,6,2,0,2,4,10
"Fam58b",50,54,58,49,43,65,78,61
"Fam69a",6,2,2,3,15,4,1,3
"Fam71e1",4,1,3,4,5,6,3,2
"Fam72a",17,23,21,17,20,5,15,10
"Fam76a",42,58,35,38,33,48,51,45
"Fam76b",40,20,24,38,40,29,33,24
"Fam78a",14,27,21,9,15,6,9,14
"Fam83g",2,1,1,2,5,1,0,1
"Fam83h",5,4,5,2,2,2,7,5
"Fam84b",5,7,4,2,4,2,2,2
"Fam89a",12,6,17,7,14,7,3,7
"Fam8a1",16,13,6,24,16,17,24,18
"Fam91a1",170,99,93,141,179,104,65,92
"Fam92a",6,3,3,7,6,6,13,9
"Fam96a",126,95,126,108,116,93,93,109
"Fam96b",85,100,132,114,75,76,66,77
"Fam98a",34,39,30,25,33,51,72,55
"Fam98b",21,19,11,12,23,36,39,34
"Fam98c",109,102,117,126,105,85,103,84
"Fan1",0,2,1,5,1,1,4,3
"Fanca",13,5,17,12,33,3,10,10
"Fancb",4,2,3,4,6,5,7,4
"Fancc",20,9,18,15,19,15,18,13
"Fancd2",3,1,6,4,8,0,1,2
"Fance",59,83,83,74,62,57,61,46
"Fancf",8,5,9,4,6,9,11,12
"Fancg",18,40,32,22,22,15,12,14
"Fanci",1,2,5,4,9,3,2,2
"Fancl",24,11,15,13,17,16,7,14
"Fancm",12,6,2,8,10,8,9,3
"Fap",1,2,3,2,4,6,23,3
"Far1",61,47,32,50,67,49,46,51
"Farp1",7,2,11,10,13,8,7,8
"Farp2",10,9,7,12,11,16,14,10
"Fars2",16,20,28,21,23,42,29,22
"Farsa",95,97,115,77,97,107,156,146
"Farsb",75,68,62,60,49,67,53,86
"Fas",2,6,3,2,2,6,23,20
"Fasn",29,67,49,25,38,70,68,87
"Fastk",56,60,59,47,57,67,97,57
"Fastkd1",18,16,7,16,19,30,26,31
"Fastkd2",32,28,25,22,34,22,34,31
"Fastkd3",24,21,23,20,26,15,34,31
"Fastkd5",12,13,6,9,5,9,12,18
"Fat1",2,0,5,3,1,4,4,1
"Fat3",4,1,5,11,8,8,2,0
"Fau",908,827,694,1004,1119,1624,893,1403
"Fbf1",21,23,10,19,17,17,11,17
"Fbl",50,56,59,91,50,122,131,166
"Fblim1",32,48,40,62,48,19,13,10
"Fbrs",172,221,213,183,179,168,246,199
"Fbrsl1",282,399,422,371,238,106,145,109
"Fbxl12",17,35,50,43,24,37,28,22
"Fbxl14",59,99,91,110,72,73,73,89
"Fbxl15",22,18,17,16,13,28,30,28
"Fbxl16",3,2,2,3,2,6,1,2
"Fbxl17",21,20,26,22,17,18,19,21
"Fbxl18",31,34,20,22,32,26,33,22
"Fbxl19",47,48,36,54,81,35,36,37
"Fbxl20",80,70,83,115,84,54,15,20
"Fbxl3",57,73,65,53,72,105,103,90
"Fbxl4",22,15,20,13,15,28,38,30
"Fbxl5",48,45,35,39,40,54,69,78
"Fbxl6",47,72,62,46,39,52,48,62
"Fbxl8",8,9,6,9,9,11,12,6
"Fbxo10",14,19,16,12,16,5,3,6
"Fbxo11",41,30,19,38,36,43,63,63
"Fbxo17",3,6,5,4,3,8,9,4
