Geneid	featureCounts on dataset 196: Counts	featureCounts on dataset 190: Counts	featureCounts on dataset 184: Counts	featureCounts on dataset 178: Counts	featureCounts on dataset 172: Counts	featureCounts on dataset 166: Counts	featureCounts on dataset 160: Counts	featureCounts on dataset 154: Counts	featureCounts on dataset 148: Counts
20239	123	159	90	131	159	120	162	136	202
20248	0	0	0	0	0	0	0	0	0
20249	1	1	0	0	0	0	2	1	0
20250	211	315	248	71	99	156	165	126	139
20254	0	6	0	0	1	0	0	0	1
20255	0	1	0	0	0	0	0	1	0
20256	2	1	4	0	5	3	3	1	2
20257	1	4	2	0	1	0	0	1	1
20259	0	0	0	0	0	0	0	0	0
20262	4	12	12	0	0	4	4	4	1
20264	0	0	0	0	0	0	0	0	0
20265	0	0	2	1	0	0	0	0	0
20266	92	105	80	123	218	189	125	166	214
20269	0	2	0	0	0	0	0	0	0
20271	0	0	0	0	0	0	1	0	0
20272	0	0	0	0	0	0	0	0	0
20273	0	5	0	1	0	1	3	0	1
20274	0	0	0	0	0	0	0	0	0
20276	0	3	0	1	0	3	0	4	0
20277	0	0	0	0	0	0	0	0	0
20278	0	0	0	0	0	0	0	0	0
20280	46	53	21	47	30	63	52	51	45
20284	1	0	2	0	0	1	0	0	0
20286	68	55	46	50	31	54	70	55	49
20287	0	0	0	0	0	4	0	0	0
20288	2286	2211	808	142	298	334	691	306	290
20289	3	10	0	1	2	2	1	4	2
20290	0	0	0	0	0	0	0	0	0
20292	0	0	0	0	0	0	0	0	0
20293	5177	3744	1193	2562	1121	1794	1448	2397	1554
20295	33	55	13	2	1	0	4	0	0
20296	895	929	390	446	183	756	339	550	522
20297	0	0	0	0	0	1	0	0	0
20299	104	127	15	0	0	1	0	9	4
20300	1	7	2	3	5	8	3	0	4
20301	4	1	0	4	8	12	8	10	4
20302	7632	35267	2285	922	638	1144	951	1022	1238
20303	4585	20751	1717	720	444	1217	621	795	1104
20304	7193	9218	1962	799	1480	1344	1746	1424	1804
20305	69	80	111	150	183	166	153	151	163
20306	73	77	22	42	12	55	26	40	36
20307	2	8	2	1	0	2	0	0	0
20308	370	324	195	345	321	305	215	257	516
20309	0	0	0	0	0	0	0	0	0
20310	320	965	69	6	7	10	21	31	14
20311	0	0	0	0	0	0	0	0	0
20312	6	20	3	3	1	0	0	0	0
20315	0	0	0	0	1	0	0	2	0
20316	159	231	150	181	306	317	246	195	304
20317	438	346	395	427	518	519	436	499	568
20318	501	529	437	509	725	470	517	535	800
20319	0	0	0	0	0	0	0	1	0
20320	315	442	275	408	632	569	413	516	576
20321	502	666	433	338	479	371	358	451	490
20322	27	29	49	86	81	83	56	64	101
20324	0	0	0	0	0	0	0	0	0
20333	47	89	45	60	76	80	107	80	89
20334	31	36	29	29	22	23	33	30	24
20335	189	142	83	96	126	36	112	121	118
20336	77	87	52	47	116	44	100	113	101
20338	331	587	336	425	751	639	655	467	517
20339	0	0	0	0	0	0	0	0	0
20340	160	314	232	235	307	280	338	362	329
20341	15	25	19	16	24	28	24	29	33
20342	0	0	0	0	0	1	0	0	0
20343	3	0	1	0	0	2	0	0	0
20344	2	0	1	0	0	0	0	0	0
20345	2021	1665	3509	6176	9032	7711	5405	5359	8383
20346	0	0	0	0	0	0	0	0	0
20347	3	6	0	0	0	0	1	0	0
20348	2	0	0	0	0	0	0	0	0
20349	0	0	0	0	0	0	0	0	0
20350	0	5	0	0	0	0	1	1	3
20351	62	90	37	66	101	204	133	79	96
20352	2	0	3	4	10	4	4	7	10
20353	507	824	205	210	328	520	327	313	421
20354	71	93	81	268	346	358	229	315	270
20355	0	1	0	0	0	0	0	0	0
20356	0	0	0	0	0	0	0	0	0
20357	0	0	0	0	0	0	0	0	0
20358	0	0	0	2	0	0	0	0	2
20359	130	137	137	38	40	22	45	49	52
20360	0	0	5	0	0	0	0	0	1
20361	4	0	3	1	0	0	1	0	2
20362	24	42	33	34	57	62	67	39	98
20363	2039	2186	2292	6081	8075	6149	4495	5352	8495
20364	191	214	129	68	96	108	101	105	124
20365	3	2	9	8	7	24	4	12	21
20370	0	3	1	0	2	0	2	0	0
20371	0	0	0	0	0	1	10	3	1
20375	1159	1878	977	602	504	521	572	602	715
20377	0	0	0	0	0	0	0	0	0
20378	0	0	0	0	0	0	0	0	0
20379	0	0	0	0	0	0	0	0	0
20382	622	752	392	418	534	737	457	546	582
20383	648	723	363	381	278	449	387	431	486
20384	923	1349	911	807	1294	1483	828	1237	1374
20387	0	0	0	0	0	0	0	0	0
20388	1	5	2	4	3	3	0	2	3
20389	0	0	0	0	0	0	0	0	0
20390	0	0	0	0	0	0	0	0	0
20391	0	19	0	0	0	0	0	2	0
20392	59	78	61	109	178	160	114	138	140
20393	838	1275	568	363	478	680	581	514	760
20394	0	9	0	2	3	0	0	0	0
20397	636	1375	635	669	997	929	684	825	899
20399	114	216	172	209	297	382	260	184	275
20400	0	0	0	0	0	0	0	0	0
20401	129	193	150	226	358	302	363	253	393
20402	224	366	183	157	203	135	207	154	166
20403	81	126	68	94	74	72	131	100	104
20404	0	2	0	1	0	0	1	2	0
20405	82	126	118	88	208	247	198	133	202
20408	0	1	0	0	0	0	2	0	0
20409	442	505	387	332	476	592	484	392	517
20410	0	0	0	1	0	0	1	0	0
20411	10	23	6	8	3	7	2	7	3
20415	0	0	0	0	0	0	0	0	0
20416	39	119	62	88	141	114	121	110	116
20418	0	0	0	0	0	0	0	0	0
20419	2	0	0	9	6	3	0	0	11
20420	1	28	4	1	0	1	0	1	2
20422	350	362	233	265	244	225	247	279	267
20423	0	0	0	0	0	0	0	0	0
20425	26	29	11	14	25	23	19	15	19
20429	0	0	0	0	0	0	0	0	0
20430	701	1008	487	611	692	585	605	676	848
20431	0	2	1	1	0	2	6	0	0
20437	29	48	43	24	42	55	35	50	49
20438	4	4	0	3	4	0	3	7	0
20439	27	157	30	24	26	65	24	33	22
20440	3	20	29	44	84	90	57	73	83
20441	90	125	125	119	128	82	86	126	168
20442	89	138	51	18	82	76	74	65	57
20443	12	17	21	12	20	10	21	9	21
20444	54	98	47	73	130	90	131	121	130
20445	0	0	0	0	0	0	0	0	0
20446	0	0	0	0	0	0	0	0	0
20447	0	0	0	0	0	0	0	0	0
20448	128	150	120	167	265	248	212	196	246
20449	0	0	0	1	8	1	2	1	1
20450	0	0	0	0	0	0	0	0	0
20451	0	1	0	0	0	0	0	1	1
20452	1	0	5	13	13	5	10	16	8
20454	79	77	86	199	292	253	311	259	345
20459	0	0	0	0	0	0	0	0	0
20460	3	2	0	16	2	8	0	4	6
20462	369	348	217	241	264	117	155	276	236
20463	110	158	114	122	203	146	156	151	249
20464	0	0	0	0	0	0	0	0	0
20465	0	0	0	0	0	0	0	0	0
20466	29	47	39	45	46	42	51	47	50
20467	459	461	355	175	383	372	333	251	346
20469	775	1021	982	992	1335	1146	1206	839	1210
20471	3	0	0	0	0	0	0	0	0
20472	0	0	0	0	0	0	0	0	0
20473	0	0	0	0	0	1	0	0	0
20474	0	1	0	0	1	0	0	0	0
20475	1	5	0	4	2	4	0	0	2
20476	0	0	0	0	0	0	0	0	0
20479	124	229	109	102	136	112	124	125	146
20480	63	146	60	68	73	71	98	88	46
20481	421	652	547	282	536	608	571	395	514
20482	231	423	105	200	216	214	211	214	252
20491	1185	1458	992	503	787	476	534	627	805
20492	3	11	7	4	11	4	11	10	10
20493	1	0	0	0	0	1	0	0	0
20494	0	0	0	0	0	0	0	0	0
20495	0	0	0	0	0	0	0	0	0
20496	78	113	64	147	131	60	104	146	157
20497	2	1	0	0	0	0	0	0	2
20498	123	157	81	65	83	93	77	61	55
20499	37	90	49	43	105	100	97	98	91
20500	0	0	1	0	0	0	0	0	0
20501	20	46	21	18	34	40	52	32	40
20502	1	3	0	0	0	0	0	0	3
20503	7	5	2	8	15	3	11	5	9
20504	0	0	0	0	0	0	0	0	0
20505	0	0	0	0	0	0	0	0	0
20508	0	0	0	0	0	0	0	0	0
20509	92	135	83	32	42	76	81	43	48
20510	0	0	0	0	0	0	0	0	0
20511	2	10	5	0	4	1	1	1	7
20512	205	278	293	407	672	489	443	374	616
20513	0	0	0	0	0	5	0	2	0
20514	160	256	55	26	50	46	104	56	26
20515	176	385	154	121	99	146	124	120	120
